provincia,x,y
Buenos Aires,40,60
CABA,75,117
Catamarca,-129,318
Chaco,38,313
Chubut,-125,-143
Cordoba,-40,183
Corrientes,95,262
Entre Rios,62,169
Formosa,56,362
Jujuy,-93,418
La Pampa,-69,37
La Rioja,-109,234
Mendoza,-146,107
Misiones,185,311
Neuquen,-166,-19
Rio Negro,-110,-40
Salta,-66,359
San Juan,-147,209
San Luis,-90,140
Santa Cruz,-140,-282
Santa Fe,28,221
Santiago del Estero,-29,290
Tierra del Fuego,-88,-410
Tucuman,-76,318
